SESSIONID,PREVSESSIONID,LICENSEPLATE,CARPARKNUMBER,VEHICLETYPE,LABEL_TYPE,TRANSACTION_TYPE,SESSIONSTART,SESSIONEND,TOTAL_CHARGE,DURATION,FIRST_ADVISORY_SENT_AT,FINAL_ADVISORY_SENT_AT,PAYMENT_STATUS,BILLINGID,PAYMENTID,TXN_STATUS,PATCH_STATUS,REDEMPTION,EFFECTIVE_CHARGE,REDEMPTION_TYPE
0PL81-L-00030-20211213001334,0PL81-L-00030-20211213001303,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:13:34,13/12/2021 00:14:10,0,1,"","",,"","",ENDED,,0,0,
0PL81-L-00032-20211213003013,null,SMG7914B,PL81,C,season_W,PHDB,13/12/2021 00:30:13,13/12/2021 00:40:54,0,10,"","",,"","",FORCE EXITED,,0,0,
0PL81-L-00330-20211213011013,0PL81-L-00330-20211213003343,GBH6120G,PL81,C,season_W,LPRS,13/12/2021 01:10:13,13/12/2021 01:18:25,0,8,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213045043,null,GBA3801G,PL80,C,SHORT TERM,LPRS,13/12/2021 04:50:43,13/12/2021 04:55:55,0,5,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213050946,null,YP3769R,PL80,C,SHORT TERM,LPRS,13/12/2021 05:09:46,13/12/2021 05:27:09,0,18,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211213060547,null,SHF688P,PL80,C,SHORT TERM,LPRS,13/12/2021 06:05:47,13/12/2021 06:10:10,0,5,"","",,"","",ENDED,,0,0,
0PL81-L-00032-20211213060927,0PL81-L-00032-20211213060701,SMG7914B,PL81,C,season_W,PHDB,13/12/2021 06:09:27,13/12/2021 06:25:05,0,16,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213065010,null,SKR6529C,PL81,C,season_W,LPRS,13/12/2021 06:50:10,13/12/2021 08:38:50,0,108,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213020124,null,SMU4273M,PL80,C,season_W,PHDB,13/12/2021 02:01:24,13/12/2021 13:31:13,0,690,"","",,"","",EXITED,,0,0,
0PL80-E-00003-20211213030017,null,SMW8276T,PL80,C,season_W,PHDB,13/12/2021 03:00:17,13/12/2021 10:35:55,0,455,"","",,"","",EXITED,,0,0,
0PL80-E-00003-20211213000216,null,SHD5262L,PL80,C,SHORT TERM,LPRS,13/12/2021 00:02:16,13/12/2021 00:05:58,0,3,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213001514,0PL81-L-00030-20211213001434,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:15:14,13/12/2021 00:25:14,0,10,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213010934,0PL81-L-00030-20211213010252,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 01:09:34,13/12/2021 01:10:14,0,1,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213010819,null,SMH9392M,PL81,C,SHORT TERM,LPRS,13/12/2021 01:08:19,13/12/2021 01:13:00,0,5,"","",,"","",ENDED,,0,0,
0PL80-L-00476-20211213030739,null,SMR9917Y,PL80,C,season_W,LPRS,13/12/2021 03:07:39,13/12/2021 03:07:59,0,0,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213001146,null,GBH6120G,PL81,C,season_W,LPRS,13/12/2021 00:11:46,13/12/2021 00:20:53,0,9,"","",,"","",ENDED,,0,0,
0PL81-L-000W1-20211213002102,0PL81-E-00001-20211213001146,GBH6120G,PL81,C,season_W,LPRS,13/12/2021 00:21:02,13/12/2021 00:28:39,0,7,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213012009,0PL81-L-00030-20211213011248,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 01:20:09,13/12/2021 01:20:15,0,0,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213001720,null,SMA3587U,PL81,C,season_W,PHDB,13/12/2021 00:17:20,13/12/2021 00:41:40,0,24,"","",,"","",EXITED,,0,0,
0PL81-L-00330-20211213003343,null,GBH6120G,PL81,C,season_W,LPRS,13/12/2021 00:33:43,13/12/2021 01:09:09,0,36,"","",,"","",ENDED,,0,0,
0PL81-L-00152-20211213033316,0PL81-L-00152-20211213023656,SMX7096Y,PL81,C,season_W,LPRS,13/12/2021 03:33:16,13/12/2021 03:43:01,0,10,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211213035213,null,SHC1752X,PL80,C,SHORT TERM,LPRS,13/12/2021 03:52:13,13/12/2021 03:54:39,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00005-20211213055249,null,CB8466R,PL80,C,SHORT TERM,LPRS,13/12/2021 05:52:49,13/12/2021 05:53:38,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211213035113,null,SGQ34E,PL80,C,season_W,LPRS,13/12/2021 03:51:13,13/12/2021 08:53:18,0,302,"","",,"","",ENDED,,0,0,
0PL81-L-00036-20211213061607,null,SJL4437R,PL81,C,season_W,PHDB,13/12/2021 06:16:07,13/12/2021 06:17:27,0,1,"","",,"","",FORCE EXITED,,0,0,
0PL81-L-00153-20211213053417,0PL81-E-00001-20211212205443,SGE3933D,PL81,C,season_W,PHDB,13/12/2021 05:34:17,13/12/2021 08:15:56,0,161,"","",,"","",EXITED,,0,0,
0PL81-L-00118-20211213034340,0PL81-L-00118-20211213011316,SMU2004L,PL81,C,season_W,PHDB,13/12/2021 03:43:40,13/12/2021 04:13:46,0,30,"","",,"","",EXITED,,0,0,
0PL80-E-00002-20211213063307,null,SMU3464K,PL80,C,SHORT TERM,LPRS,13/12/2021 06:33:07,13/12/2021 10:40:15,4.94000000000000039,247,"","",PAID,"","",ENDED,,0,4.94000000000000039,
0PL81-E-00001-20211213001859,null,SKV1535X,PL81,C,season_W,PHDB,13/12/2021 00:18:59,13/12/2021 12:34:41,0,736,"","",,"","",EXITED,,0,0,
0PL80-L-0767C-20211213054753,0PL80-L-0767C-20211213044642,SLD5243U,PL80,C,season_W,PHDB,13/12/2021 05:47:53,13/12/2021 12:47:16,0,420,"","",,"","",EXITED,,0,0,
0PL81-L-00177-20211213011831,0PL81-E-00001-20211213011639,SJN2429S,PL81,C,season_W,LPRS,13/12/2021 01:18:31,13/12/2021 01:18:31,0,0,"","",FC_WAIVED,"","",ENDED,,0,0,
0PL81-L-00314-20211213032514,null,SLJ836K,PL81,C,season_W,LPRS,13/12/2021 03:25:14,13/12/2021 03:34:15,0,9,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211213050204,null,SHF692B,PL80,C,season_W,LPRS,13/12/2021 05:02:04,13/12/2021 17:24:35,0,742,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213002506,null,SLV5308Y,PL81,C,SHORT TERM,LPRS,13/12/2021 00:25:06,13/12/2021 00:26:40,0,1,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213002545,0PL81-L-00030-20211213001514,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:25:45,13/12/2021 00:27:00,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213004629,null,SLC6585G,PL80,C,SHORT TERM,LPRS,13/12/2021 00:46:29,13/12/2021 01:20:02,0.680000000000000049,34,"","",PAID,"","",ENDED,,0,0.680000000000000049,
0PL81-L-00168-20211213002920,null,SLB9630U,PL81,C,season_W,PHDB,13/12/2021 00:29:20,13/12/2021 00:30:25,0,1,"","",,"","",FORCE EXITED,,0,0,
0PL81-L-000W1-20211213002930,0PL81-E-00001-20211213002827,SMN6279X,PL81,C,season_W,LPRS,13/12/2021 00:29:30,13/12/2021 00:29:30,0,0,"","",FC_WAIVED,"","",ENDED,,0,0,
0PL81-L-00030-20211213005153,0PL81-L-00030-20211213004957,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:51:53,13/12/2021 00:51:53,0,0,"","",FC_WAIVED,"","",ENDED,,0,0,
0PL81-E-00001-20211213014516,null,SHC5436H,PL81,C,SHORT TERM,LPRS,13/12/2021 01:45:16,"",0,"","","",,"","",STARTED,,0,0,
0PL81-L-00030-20211213005959,0PL81-L-00030-20211213005444,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:59:59,13/12/2021 01:02:09,0,3,"","",,"","",ENDED,,0,0,
0PL81-L-00032-20211213005223,0PL81-L-00032-20211213004957,SMG7914B,PL81,C,season_W,PHDB,13/12/2021 00:52:23,13/12/2021 00:54:20,0,2,"","",,"","",FORCE EXITED,,0,0,
0PL80-L-00476-20211213011022,null,SMR9917Y,PL80,C,season_W,LPRS,13/12/2021 01:10:22,13/12/2021 01:17:40,0,7,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213022617,null,SJT2672Z,PL80,C,season_W,PHDB,13/12/2021 02:26:17,13/12/2021 02:27:34,0,1,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213024417,null,SMY8635E,PL81,C,SHORT TERM,LPRS,13/12/2021 02:44:17,13/12/2021 02:45:04,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00004-20211213024809,null,SMY8635E,PL80,C,SHORT TERM,LPRS,13/12/2021 02:48:09,13/12/2021 02:49:28,0,1,"","",,"","",ENDED,,0,0,
0PL80-L-00476-20211213031802,null,SMR9917Y,PL80,C,season_W,LPRS,13/12/2021 03:18:02,13/12/2021 03:24:45,0,6,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213033730,null,SMM5424E,PL81,C,SHORT TERM,LPRS,13/12/2021 03:37:30,13/12/2021 03:45:32,0,8,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213034914,null,SHC1752X,PL81,C,SHORT TERM,LPRS,13/12/2021 03:49:14,13/12/2021 03:50:19,0,1,"","",,"","",ENDED,,0,0,
0PL81-L-00314-20211213033535,0PL81-L-00314-20211213032514,SLJ836K,PL81,C,season_W,LPRS,13/12/2021 03:35:35,13/12/2021 03:52:16,0,17,"","",,"","",ENDED,,0,0,
0PL80-L-00L35-20211213035733,null,SHC1752X,PL80,C,SHORT TERM,LPRS,13/12/2021 03:57:33,"",0,"","","",,"","",STARTED,,0,0,
0PL81-L-00152-20211213034331,0PL81-L-00152-20211213033316,SMX7096Y,PL81,C,season_W,LPRS,13/12/2021 03:43:31,13/12/2021 04:12:12,0,29,"","",,"","",ENDED,,0,0,
0PL80-L-00L12-20211213041745,0PL80-E-00001-20211213041623,YN2749R,PL80,C,SHORT TERM,LPRS,13/12/2021 04:17:45,13/12/2021 04:20:48,0,3,"","",,"","",ENDED,,0,0,
0PL81-L-00152-20211213041248,0PL81-L-00152-20211213034331,SMX7096Y,PL81,C,season_W,LPRS,13/12/2021 04:12:48,13/12/2021 04:39:20,0,27,"","",,"","",ENDED,,0,0,
0PL81-L-00154-20211213035031,0PL81-L-00154-20211213013749,SJV2195Z,PL81,C,season_W,PHDB,13/12/2021 03:50:31,13/12/2021 05:34:15,0,104,"","",,"","",FC EXITED,,0,0,
0PL80-E-00002-20211213004055,null,SFF9179G,PL80,C,SHORT TERM,PHDB,13/12/2021 00:40:55,13/12/2021 05:29:22,0,289,"","",WAIVED,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213053837,null,SMN9095P,PL81,C,SHORT TERM,LPRS,13/12/2021 05:38:37,13/12/2021 05:39:40,0,1,"","",,"","",ENDED,,0,0,
0PL81-L-00106-20211213005657,0PL81-E-00001-20211213005523,GBG6295R,PL81,C,season_W,LPRS,13/12/2021 00:56:57,13/12/2021 00:56:57,0,0,"","",FC_WAIVED,"","",ENDED,,0,0,
0PL80-E-00004-20211213000304,null,SLD1263M,PL80,C,season_W,PHDB,13/12/2021 00:03:04,13/12/2021 07:16:07,0,433,"","",,"","",FC EXITED,,0,0,
0PL80-E-00003-20211213004522,null,SLN6635M,PL80,C,season_W,PHDB,13/12/2021 00:45:22,13/12/2021 07:36:52,0,411,"","",,"","",EXITED,,0,0,
0PL80-E-00002-20211213023052,null,SMV3335U,PL80,C,season_W,PHDB,13/12/2021 02:30:52,13/12/2021 11:27:39,0,537,"","",,"","",EXITED,,0,0,
0PL81-L-00036-20211213054236,null,SJL4437R,PL81,C,season_W,PHDB,13/12/2021 05:42:36,13/12/2021 05:47:37,0,5,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213002827,null,SMN6279X,PL81,C,season_W,LPRS,13/12/2021 00:28:27,13/12/2021 00:28:27,0,0,"","",FC_WAIVED,"","",ENDED,,0,0,
0PL81-L-00032-20211213002748,null,SMG7914B,PL81,C,season_W,PHDB,13/12/2021 00:27:48,13/12/2021 00:27:56,0,0,"","",,"","",FORCE EXITED,,0,0,
0PL81-L-000L6-20211213002658,0PL81-E-00001-20211213002506,SLV5308Y,PL81,C,SHORT TERM,LPRS,13/12/2021 00:26:58,13/12/2021 00:31:56,0,5,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213004615,null,SHC1324Z,PL81,C,SHORT TERM,LPRS,13/12/2021 00:46:15,"",0,"","","",,"","",STARTED,,0,0,
0PL81-L-00030-20211213004920,0PL81-L-00030-20211213002917,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:49:20,13/12/2021 00:49:40,0,0,"","",,"","",ENDED,,0,0,
0PL81-L-00281-20211213012236,0PL81-E-00001-20211211174742,SLJ7506S,PL81,C,season_W,PHDB,13/12/2021 01:22:36,"",0,"","","",,"","",STARTED,,0,0,
0PL81-L-00047-20211213012843,0PL81-E-00001-20211212224942,SLQ4038J,PL81,C,season_W,LPRS,13/12/2021 01:28:43,13/12/2021 01:35:37,0,7,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213014435,null,SMN9775K,PL81,C,SHORT TERM,LPRS,13/12/2021 01:44:35,13/12/2021 01:46:03,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213024542,null,SMG4163X,PL80,C,SHORT TERM,LPRS,13/12/2021 02:45:42,13/12/2021 02:47:09,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00005-20211213024505,null,YQ1171Y,PL80,C,SHORT TERM,LPRS,13/12/2021 02:45:05,13/12/2021 03:00:45,0,15,"","",,"","",ENDED,,0,0,
0PL81-L-00314-20211213035336,0PL81-L-00314-20211213033535,SLJ836K,PL81,C,season_W,LPRS,13/12/2021 03:53:36,13/12/2021 03:56:16,0,3,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213035826,null,SMK7129E,PL80,C,SHORT TERM,LPRS,13/12/2021 03:58:26,13/12/2021 04:02:11,0,4,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213041710,null,SLJ6096P,PL81,C,SHORT TERM,LPRS,13/12/2021 04:17:10,13/12/2021 04:17:56,0,0,"","",,"","",ENDED,,0,0,
0PL81-L-00152-20211213053638,0PL81-L-00152-20211213053526,SMX7096Y,PL81,C,season_W,LPRS,13/12/2021 05:36:38,13/12/2021 05:41:10,0,5,"","",,"","",ENDED,,0,0,
0PL81-L-00152-20211213054206,0PL81-L-00152-20211213053638,SMX7096Y,PL81,C,season_W,LPRS,13/12/2021 05:42:06,13/12/2021 05:42:50,0,0,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211213070503,null,PC7923K,PL80,C,SHORT TERM,LPRS,13/12/2021 07:05:03,13/12/2021 07:11:45,0,6,"","",,"","",ENDED,,0,0,
0PL81-L-00036-20211213054956,null,SJL4437R,PL81,C,season_W,PHDB,13/12/2021 05:49:56,13/12/2021 06:07:35,0,18,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213061105,null,SKW3696X,PL81,C,SHORT TERM,LPRS,13/12/2021 06:11:05,13/12/2021 06:11:40,0,0,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213063857,null,PC5462L,PL81,C,SHORT TERM,LPRS,13/12/2021 06:38:57,13/12/2021 06:41:06,0,3,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213064245,0PL81-L-00030-20211213013352,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 06:42:45,13/12/2021 06:45:11,0,3,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213065911,0PL81-L-00030-20211213065832,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 06:59:11,13/12/2021 06:59:37,0,0,"","",,"","",ENDED,,0,0,
0PL80-L-00639-20211213072259,,SFR288X,PL80,C,season_W,PHDB,13/12/2021 07:22:59,"",0,"","","",,"","",STARTED,,0,0,
0PL80-E-00003-20211213072137,null,SLP6594L,PL80,C,SHORT TERM,LPRS,13/12/2021 07:21:37,13/12/2021 07:23:26,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00003-20211213075509,null,GBE8707S,PL80,C,SHORT TERM,LPRS,13/12/2021 07:55:09,13/12/2021 07:57:15,0,2,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213071653,null,SMM5462U,PL80,C,SHORT TERM,LPRS,13/12/2021 07:16:53,13/12/2021 07:51:10,0.699999999999999956,35,"","",PAID,"","",ENDED,,0,0.699999999999999956,
0PL80-L-00147-20211213071610,null,SLD1263M,PL80,C,season_W,PHDB,13/12/2021 07:16:10,13/12/2021 07:39:12,0,23,"","",,"","",EXITED,,0,0,
0PL80-E-00004-20211213074431,null,SBU188H,PL80,C,SHORT TERM,PHDB,13/12/2021 07:44:31,13/12/2021 07:47:11,0,3,"","",,"","",EXITED,,0,0,
0PL81-L-00054-20211213073249,0PL81-E-00001-20211212215740,SMF7260J,PL81,C,season_W,LPRS,13/12/2021 07:32:49,13/12/2021 07:57:35,0,25,"","",,"","",ENDED,,0,0,
0PL81-L-00052-20211213075844,0PL81-L-00052-20211213075540,SLV1812J,PL81,C,season_W,LPRS,13/12/2021 07:58:44,13/12/2021 07:59:25,0,1,"","",,"","",ENDED,,0,0,
0PL81-L-00152-20211213062418,null,SMX7096Y,PL81,C,season_W,LPRS,13/12/2021 06:24:18,13/12/2021 08:00:24,0,96,"","",,"","",ENDED,,0,0,
0PL81-E-00001-20211213001910,null,GBA1565B,PL81,C,season_W,LPRS,13/12/2021 00:19:10,13/12/2021 08:54:39,0,515,"","",,"","",ENDED,,0,0,
0PL81-L-00154-20211213064717,0PL81-L-00154-20211213062620,SJV2195Z,PL81,C,season_W,PHDB,13/12/2021 06:47:17,13/12/2021 08:09:04,0,82,"","",,"","",EXITED,,0,0,
0PL80-E-00001-20211213072316,null,SJR3452X,PL80,C,SHORT TERM,LPRS,13/12/2021 07:23:16,13/12/2021 08:49:41,1.71999999999999997,86,"","",PAID,"","",ENDED,,0,1.71999999999999997,
0PL80-L-00148-20211213071610,0PL80-E-00004-20211212225951,SMG282L,PL80,C,season_W,LPRS,13/12/2021 07:16:10,13/12/2021 12:13:17,0,297,"","",,"","",ENDED,,0,0,
0PL81-L-00248-20211213031825,0PL81-L-00248-20211213031305,SJS9634T,PL81,C,season_W,PHDB,13/12/2021 03:18:25,13/12/2021 03:19:45,0,1,"","",,"","",EXITED,,0,0,
0PL80-E-00004-20211213034523,null,SLB4901X,PL80,C,SHORT TERM,LPRS,13/12/2021 03:45:23,13/12/2021 04:00:47,0,15,"","",,"","",ENDED,,0,0,
0PL80-L-00476-20211213000709,null,SMR9917Y,PL80,C,season_W,LPRS,13/12/2021 00:07:09,13/12/2021 00:11:44,0,4,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213002728,0PL81-L-00030-20211213002545,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 00:27:28,13/12/2021 00:27:56,0,0,"","",,"","",ENDED,,0,0,
0PL81-L-00036-20211213002421,null,SJL4437R,PL81,C,season_W,PHDB,13/12/2021 00:24:21,13/12/2021 00:30:51,0,6,"","",,"","",FORCE EXITED,,0,0,
0PL80-E-00002-20211213052846,null,YQ196H,PL80,C,SHORT TERM,LPRS,13/12/2021 05:28:46,13/12/2021 05:38:28,0,10,"","",,"","",ENDED,,0,0,
0PL81-L-00168-20211213004044,null,SLB9630U,PL81,C,season_W,PHDB,13/12/2021 00:40:44,13/12/2021 00:41:53,0,1,"","",,"","",FORCE EXITED,,0,0,
0PL81-E-00001-20211213005519,null,SMM6343Z,PL81,C,SHORT TERM,LPRS,13/12/2021 00:55:19,"",0,"","","",,"","",STARTED,,0,0,
0PL81-E-00001-20211213004151,null,SLM2621J,PL81,C,SHORT TERM,LPRS,13/12/2021 00:41:51,13/12/2021 00:58:05,0,17,"","",,"","",ENDED,,0,0,
0PL81-L-00197-20211213004423,null,SMN6279X,PL81,C,season_W,LPRS,13/12/2021 00:44:23,13/12/2021 01:08:04,0,24,"","",,"","",ENDED,,0,0,
0PL81-L-00030-20211213011131,0PL81-L-00030-20211213011034,GBJ4780D,PL81,C,SHORT TERM,LPRS,13/12/2021 01:11:31,13/12/2021 01:12:00,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213014107,null,SLT1471U,PL80,C,SHORT TERM,LPRS,13/12/2021 01:41:07,13/12/2021 01:42:33,0,1,"","",,"","",ENDED,,0,0,
0PL80-E-00002-20211213063014,null,PC5462L,PL80,C,SHORT TERM,LPRS,13/12/2021 06:30:14,13/12/2021 06:37:10,0,7,"","",,"","",ENDED,,0,0,
0PL80-E-00001-20211213063302,null,PC1997L,PL80,C,season_W,LPRS,13/12/2021 06:33:02,13/12/2021 06:43:55,0,10,"","",,"","",ENDED,,0,0,
0PL81-L-00L11-20211213051844,0PL81-E-00001-20211213021618,SH7044K,PL81,C,SHORT TERM,LPRS,13/12/2021 05:18:44,13/12/2021 05:48:54,0.599999999999999978,30,"","",PAID,"","",ENDED,,0,0.599999999999999978,
0PL81-L-00154-20211213013749,0PL81-L-00154-20211213013409,SJV2195Z,PL81,C,season_W,PHDB,13/12/2021 01:37:49,13/12/2021 03:50:14,0,133,"","",,"","",FC EXITED,,0,0,
0PL80-E-00003-20211213062411,null,SLU6641H,PL80,C,season_W,PHDB,13/12/2021 06:24:11,13/12/2021 06:28:33,0,4,"","",,"","",EXITED,,0,0,
